participant_id,trial_index,interface_source,target_color_name,target_hex,clicked_color_name,clicked_hex,time_taken_ms,is_correct
Sean,1,original,Green,#9DE951,Green,#9DE951,5494.299999952316,True
Sean,2,round2,Red,#E04747,Red,#E04747,2110.0,True
Sean,3,round2,Red,#E04747,Red,#E04747,1857.8999998569489,True
Sean,4,round2,Yellow,#FFFF00,Yellow,#FFFF00,1557.4000000953674,True
Sean,5,round2,Purple,#7030A0,Purple,#7030A0,1363.2000000476837,True
Sean,6,round2,Blue,#82EEFD,Blue,#82EEFD,1116.8999998569489,True
Sean,7,original,Orange,#FEBC02,Green,#9DE951,1738.7999999523163,False
Sean,8,original,Blue,#002F8E,Blue,#002F8E,1088.3999998569489,True
Sean,9,round1,Purple,#7030A0,Purple,#7030A0,1709.0999999046326,True
Sean,10,round2,Green,#04F994,Orange,#FEBC02,2078.7999999523163,False
Sean,11,original,Red,#FF0000,Red,#FF0000,1259.0,True
Sean,12,round2,Green,#04F994,Yellow,#FFFF00,1531.0,False
Sean,13,round2,Orange,#FEBC02,Orange,#FEBC02,1974.4000000953674,True
Sean,14,original,Orange,#FEBC02,Orange,#FEBC02,1370.2999999523163,True
Sean,15,round2,Brown,#5A3507,Red,#E04747,1605.6000001430511,False
Sean,16,round2,Orange,#FEBC02,Orange,#FEBC02,1416.7999999523163,True
Sean,17,original,Red,#FF0000,Brown,#7F6000,1874.2000000476837,False
Sean,18,round2,Red,#E04747,Red,#E04747,1830.7000000476837,True
Sean,19,original,Yellow,#FFFF00,Yellow,#FFFF00,1441.5999999046326,True
Sean,20,round2,Brown,#5A3507,Brown,#5A3507,1392.7999999523163,True
Sean,21,round2,Blue,#82EEFD,Blue,#82EEFD,1154.6000001430511,True
Sean,22,round2,Purple,#7030A0,Purple,#7030A0,1391.2000000476837,True
Sean,23,round2,Brown,#5A3507,Brown,#5A3507,1136.3999998569489,True
Sean,24,round2,Purple,#7030A0,Purple,#7030A0,1852.9000000953674,True
Sean,25,round2,Orange,#FEBC02,Orange,#FEBC02,1511.2999999523163,True
Sean,26,round2,Purple,#7030A0,Purple,#7030A0,1206.5999999046326,True
Sean,27,round2,Orange,#FEBC02,Orange,#FEBC02,1427.2000000476837,True
Sean,28,original,Orange,#FEBC02,Orange,#FEBC02,972.3999998569489,True
Sean,29,round2,Red,#E04747,Red,#E04747,2711.0,True
Sean,30,round2,Brown,#5A3507,Brown,#5A3507,1372.1000001430511,True
Sean,31,round2,Purple,#7030A0,Purple,#7030A0,1320.5,True
Sean,32,round2,Blue,#82EEFD,Blue,#82EEFD,1259.3000001907349,True
Sean,33,original,Purple,#7030A0,Blue,#002F8E,1437.2000000476837,False
Sean,34,round1,Orange,#FEBC02,Orange,#FEBC02,1491.7999999523163,True
Sean,35,round2,Orange,#FEBC02,Orange,#FEBC02,1282.6000001430511,True
Sean,36,round2,Blue,#82EEFD,Blue,#82EEFD,1372.0999999046326,True
Sean,37,round2,Red,#E04747,Red,#E04747,2410.0999999046326,True
Sean,38,round1,Yellow,#FFFF00,Yellow,#FFFF00,1159.5,True
Sean,39,original,Yellow,#FFFF00,Yellow,#FFFF00,1674.0999999046326,True
Sean,40,round2,Brown,#5A3507,Brown,#5A3507,1904.1999998092651,True
Sean,41,round2,Yellow,#FFFF00,Yellow,#FFFF00,1095.7000000476837,True
Sean,42,round2,Yellow,#FFFF00,Yellow,#FFFF00,961.2999999523163,True
Sean,43,original,Brown,#7F6000,Red,#FF0000,1885.5,False
Sean,44,original,Red,#FF0000,Red,#FF0000,1270.9000000953674,True
Sean,45,original,Red,#FF0000,Brown,#7F6000,982.2999999523163,False
Sean,46,round2,Orange,#FEBC02,Orange,#FEBC02,2475.2000000476837,True
Sean,47,round2,Red,#E04747,Red,#E04747,1747.7000000476837,True
Sean,48,round1,Blue,#00B0F0,Blue,#00B0F0,3142.9000000953674,True
Sean,49,original,Red,#FF0000,Red,#FF0000,2018.1000001430511,True
Sean,50,original,Purple,#7030A0,Purple,#7030A0,2006.6000001430511,True
Sean,51,original,Brown,#7F6000,Brown,#7F6000,1625.0,True
Sean,52,round2,Green,#04F994,Green,#04F994,2982.9000000953674,True
Sean,53,round2,Green,#04F994,Green,#04F994,1329.4000000953674,True
Sean,54,round2,Blue,#82EEFD,Blue,#82EEFD,2059.399999856949,True
Sean,55,original,Brown,#7F6000,Brown,#7F6000,1921.7000000476837,True
Sean,56,round2,Green,#04F994,Green,#04F994,1214.0999999046326,True
Sean,57,round2,Orange,#FEBC02,Orange,#FEBC02,1243.1000001430511,True
Sean,58,original,Blue,#002F8E,Purple,#7030A0,1789.3999998569489,False
Sean,59,original,Orange,#FEBC02,Orange,#FEBC02,2154.2000000476837,True
Sean,60,round2,Brown,#5A3507,Brown,#5A3507,1499.2999999523163,True
Sean,61,round2,Green,#04F994,Green,#04F994,1928.2000000476837,True
Sean,62,round2,Blue,#82EEFD,Blue,#82EEFD,1647.1000001430511,True
Sean,63,round2,Green,#04F994,Green,#04F994,2014.7999999523163,True
Sean,64,round2,Blue,#82EEFD,Blue,#82EEFD,1032.2999999523163,True
Sean,65,original,Orange,#FEBC02,Orange,#FEBC02,1235.7999999523163,True
