participant_id,trial_index,interface_source,target_color_name,target_hex,clicked_color_name,clicked_hex,time_taken_ms,is_correct
Ashutosh,1,new,Blue,#00B0F0,Blue,#00B0F0,9325.799999952316,True
Ashutosh,2,new,Yellow,#FFFF00,Yellow,#FFFF00,1939.6000000238419,True
Ashutosh,3,new,Orange,#FEBC02,Blue,#00B0F0,1877.1000000238419,False
Ashutosh,4,new,Yellow,#FFFF00,Yellow,#FFFF00,5651.799999952316,True
Ashutosh,5,old,Red,#FF0000,Brown,#7F6000,8107.900000095367,False
Ashutosh,6,old,Red,#FF0000,Brown,#7F6000,5564,False
Ashutosh,7,new,Yellow,#FFFF00,Yellow,#FFFF00,2931,True
Ashutosh,8,new,Green,#92D050,Green,#92D050,2231.1999999284744,True
Ashutosh,9,old,Yellow,#FFFF00,Yellow,#FFFF00,2083.8000000715256,True
Ashutosh,10,new,Orange,#FEBC02,Green,#92D050,11992.099999904633,False
Ashutosh,11,old,Yellow,#FFFF00,Yellow,#FFFF00,2817.2000000476837,True
Ashutosh,12,old,Yellow,#FFFF00,Yellow,#FFFF00,3491.399999976158,True
Ashutosh,13,old,Purple,#7030A0,Blue,#002F8E,4842.700000047684,False
Ashutosh,14,old,Green,#9DE951,Green,#9DE951,1907.5,True
Ashutosh,15,old,Yellow,#FFFF00,Yellow,#FFFF00,1819,True
Ashutosh,16,old,Green,#9DE951,Green,#9DE951,1797.9000000953674,True
Ashutosh,17,old,Blue,#002F8E,Purple,#7030A0,2503.6999999284744,False
Ashutosh,18,new,Purple,#7030A0,Purple,#7030A0,1848.1000000238419,True
Ashutosh,19,new,Purple,#7030A0,Purple,#7030A0,2459.2000000476837,True
Ashutosh,20,old,Blue,#002F8E,Purple,#7030A0,3545.100000023842,False
Ashutosh,21,new,Brown,#D4681B,Brown,#D4681B,13857.899999976158,True
Ashutosh,22,old,Brown,#7F6000,Orange,#FEBC02,14696.5,False
Ashutosh,23,new,Yellow,#FFFF00,Yellow,#FFFF00,2689.100000023842,True
Ashutosh,24,new,Blue,#00B0F0,Blue,#00B0F0,3024.3000000715256,True
Ashutosh,25,old,Blue,#002F8E,Purple,#7030A0,3246.100000023842,False
Ashutosh,26,new,Brown,#D4681B,Brown,#D4681B,5768,True
Ashutosh,27,old,Brown,#7F6000,Green,#9DE951,15307.600000023842,False
Ashutosh,28,old,Green,#9DE951,Green,#9DE951,6708.700000047684,True
Ashutosh,29,new,Blue,#00B0F0,Blue,#00B0F0,5013,True
Ashutosh,30,old,Purple,#7030A0,Blue,#002F8E,1736.6000000238419,False
Ashutosh,31,new,Blue,#00B0F0,Blue,#00B0F0,15675.5,True
Ashutosh,32,new,Orange,#FEBC02,Brown,#D4681B,5346.599999904633,False
Ashutosh,33,old,Yellow,#FFFF00,Yellow,#FFFF00,1678.3999999761581,True
Ashutosh,34,old,Blue,#002F8E,Purple,#7030A0,2636.899999976158,False
Ashutosh,35,old,Orange,#FEBC02,Red,#FF0000,1830.5,False
Ashutosh,36,old,Orange,#FEBC02,Orange,#FEBC02,2377.600000023842,True
Ashutosh,37,old,Orange,#FEBC02,Green,#9DE951,5846.700000047684,False
Ashutosh,38,new,Red,#ED1E24,Red,#ED1E24,2517,True
Ashutosh,39,new,Purple,#7030A0,Purple,#7030A0,2142.899999976158,True
Ashutosh,40,new,Red,#ED1E24,Red,#ED1E24,2936.899999976158,True
Ashutosh,41,old,Red,#FF0000,Brown,#7F6000,1720.7999999523163,False
Ashutosh,42,new,Red,#ED1E24,Red,#ED1E24,1383,True
